Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
13591,24.0,4.6,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,26,10.586953096729365
25024,34.0,4.8,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,44,10.881731319268983
34259,25.0,4.6,Stormy,Medium,2,Meal,motorcycle,1.0,No,Urban,24,8.938093974219779
5426,29.0,5.0,Sunny,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,23,12.254988310846937
26316,30.0,4.7,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,30,4.4648105527976245
18480,24.0,4.2,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,50,7.324687362759851
23045,25.0,4.3,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,36,13.583068670332443
18341,31.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,28,19.76218981786228
21978,32.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,28,20.179033045444367
34037,34.0,4.0,Cloudy,Low,0,Meal,motorcycle,2.0,No,Metropolitian,42,10.866277692320942
1703,31.0,4.6,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Semi-Urban,52,16.8526889708048
14049,35.0,4.2,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,35,4.596877706249969
40883,26.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Urban,36,16.36857478389407
12917,29.0,4.9,Stormy,Low,2,Meal,motorcycle,0.0,No,Urban,15,8.937783115325379
6496,23.0,4.8,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,44,17.078706390612158
11808,33.0,5.0,Sunny,Low,2,Meal,scooter,0.0,No,Urban,11,1.5204556869457486
38996,24.0,4.6,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,26,16.787849624214644
28076,30.0,4.8,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,26,9.121375405888314
42726,35.0,4.7,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,32,7.803221931101941
842,39.0,4.7,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,16,1.512691779367508
26964,21.0,4.9,Cloudy,Low,2,Buffet,motorcycle,0.0,No,Urban,22,13.970122998320036
18010,30.0,4.6,Sandstorms,High,2,Snack,scooter,1.0,No,Urban,28,3.0249845923555045
12889,30.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,15,13.406029476345417
13004,32.0,4.8,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,19,2.979000204181553
28468,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,20,6.058853851619802
35137,34.0,3.6,Stormy,Jam,1,Snack,motorcycle,1.0,Yes,Urban,41,16.660108123674217
29224,33.0,5.0,Fog,Jam,0,Buffet,motorcycle,,No,Metropolitian,27,4.537843333310986
24630,30.0,4.9,Sandstorms,Medium,2,Meal,scooter,1.0,No,Urban,25,12.419848147675573
9086,20.0,4.9,Stormy,Low,2,Buffet,scooter,1.0,No,,19,13.681492022724688
40022,23.0,4.8,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,24,6.051989448461392
14603,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,17,14.044682504032233
11146,21.0,4.8,Fog,Low,1,Snack,scooter,0.0,No,Urban,13,1.5368334398528536
44012,29.0,4.8,Fog,Medium,1,Meal,motorcycle,0.0,,Urban,10,6.128874096562112
37646,37.0,5.0,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,29,14.152800689506924
41930,30.0,4.7,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,27,12.464066309561852
9100,28.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Urban,28,7.601385733220245
11578,39.0,5.0,Fog,Medium,2,Drinks,scooter,0.0,No,Metropolitian,38,20.206808074129626
21122,35.0,3.8,Cloudy,Low,2,Meal,scooter,2.0,No,Metropolitian,34,16.98106480501587
3396,32.0,4.8,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,4.656862974108854
38380,34.0,3.6,Windy,Jam,1,Snack,scooter,1.0,No,Metropolitian,40,16.659890497093063
31504,26.0,5.0,Windy,Low,1,Buffet,scooter,,No,Metropolitian,14,13.40709269305718
32118,37.0,4.5,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,Urban,18,3.1050761852860433
6383,24.0,4.5,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,22,7.450285846000673
24750,28.0,4.6,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,19,1.5204190046400987
42350,32.0,4.1,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,33,13.971216616840227
39243,32.0,4.6,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,23,12.419649807496642
13999,26.0,4.9,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,39,12.161009702832278
15226,31.0,4.7,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,28,16.852701563903537
1487,20.0,4.3,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,35,13.830053479895493
11854,38.0,4.6,Windy,Jam,0,Buffet,motorcycle,2.0,Yes,Urban,45,17.137527593779573
12064,27.0,4.6,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,29,12.106168623625333
38188,34.0,4.8,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,42,7.647092834731425
15943,23.0,4.8,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,7.6835568584855105
36691,34.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,3.105091097288089
41827,,,,,3,Snack,scooter,1.0,No,Urban,31,17131.86513728409
42028,30.0,4.6,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,37,13.583302501390298
5841,21.0,4.7,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,23,10.588906536496683
44624,27.0,4.2,Fog,Jam,2,Meal,scooter,2.0,No,Metropolitian,36,13.583068670332443
15219,30.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,28,7.762596264636645
29221,36.0,5.0,Stormy,High,1,Drinks,scooter,1.0,No,Urban,34,6.0499195551672
7732,36.0,4.9,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,20,3.0407893995679687
20772,22.0,4.8,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,25,9.220368460286974
8445,29.0,4.7,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,22,17.074256778776085
39934,32.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,19,7.790401204125207
19910,22.0,4.6,Fog,High,2,Buffet,electric_scooter,1.0,No,Urban,33,6.129085334929411
15801,26.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,26,12.257003121955876
32932,,,Sandstorms,Low,1,Snack,scooter,,No,Metropolitian,19,7.763197145384553
24291,29.0,4.9,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,1.5581322317014603
39428,37.0,4.9,Sunny,Low,1,Snack,motorcycle,0.0,No,Urban,12,9.314115494414798
3221,35.0,5.0,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,45,11.007734763545226
21714,37.0,4.1,Stormy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,33,7.683918689130393
14337,29.0,5.0,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,16,20.18116177485454
20483,22.0,5.0,Sandstorms,High,0,Snack,motorcycle,1.0,No,Metropolitian,26,6.210607623138685
26011,39.0,4.6,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,21,3.1090961564813906
42238,27.0,4.5,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Metropolitian,27,3.105492717339753
44645,25.0,4.7,Cloudy,Jam,1,Buffet,scooter,0.0,No,Urban,20,7.862668167467362
43255,34.0,5.0,Fog,Medium,2,Snack,scooter,1.0,No,Metropolitian,16,6.128874096562112
22772,23.0,4.8,Fog,High,2,Drinks,motorcycle,1.0,No,Metropolitian,22,1.512691779367508
4155,,,Fog,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,44,12.161615481392904
16323,23.0,4.8,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Urban,26,20.442929762531403
19998,34.0,5.0,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,30,7.683697910339948
29582,30.0,4.7,Sunny,High,1,Meal,motorcycle,0.0,No,Urban,15,1.5526496279714272
9538,30.0,4.1,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Urban,39,16.38504582594246
17728,28.0,4.7,Sunny,Low,1,Snack,scooter,1.0,No,Urban,27,13.406475654384886
36952,22.0,4.9,Stormy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,10.721987300476135
16276,25.0,4.9,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,17,20.857115324024612
1812,24.0,4.6,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,,29,13.989584724693525
297,27.0,4.6,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,20,10.756697878907259
18508,21.0,4.9,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Urban,16,16.903235903501507
23374,28.0,4.9,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,16.38504788656677
43297,24.0,4.7,Windy,Jam,1,Buffet,scooter,1.0,No,Urban,19,14.023232083141643
19849,38.0,4.9,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,23,16.722380390785805
38848,20.0,4.7,Sandstorms,Low,1,Drinks,motorcycle,0.0,,Urban,11,3.105533979663673
33981,34.0,4.9,Cloudy,Medium,1,Meal,scooter,0.0,No,Metropolitian,18,6.147073150981206
2582,33.0,5.0,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,35,6.128899374713287
44411,39.0,4.9,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,12.10007905559032
10159,,,,,0,Buffet,motorcycle,1.0,No,Metropolitian,38,3.104632094129702
13152,37.0,4.6,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,13.990151177314669
3923,28.0,4.7,Fog,Medium,2,Meal,scooter,1.0,No,Metropolitian,39,10.641581256433879
27400,29.0,4.6,Sandstorms,Low,2,Meal,scooter,0.0,No,Urban,13,12.099354574482115
25170,,,Sunny,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,19,2452.780134346831
13558,34.0,4.6,Stormy,Jam,1,Drinks,scooter,,No,Metropolitian,26,10.602450942694606
16152,32.0,5.0,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,16,7.6469825829029165
35223,30.0,4.1,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,44,7.790401204125207
37490,35.0,4.6,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,15,19.76089839940681
39875,32.0,4.9,Sunny,Low,2,Buffet,scooter,1.0,No,Urban,21,17.076787116439924
314,36.0,4.7,Sandstorms,High,2,Meal,scooter,2.0,No,Metropolitian,32,3.1450674354101187
11915,23.0,4.9,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,15,1.5303005941809953
17418,36.0,4.6,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,25,6.1287577015808035
26192,38.0,4.4,Windy,High,2,Drinks,scooter,0.0,No,Metropolitian,32,3.0188245702754792
39389,22.0,4.6,Windy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,29,16.660097204528178
38291,30.0,4.9,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,9.220499640586176
43540,33.0,4.3,Windy,Medium,0,Meal,motorcycle,1.0,No,Urban,31,19.762388480865113
27417,27.0,4.6,Sunny,Medium,2,Snack,electric_scooter,1.0,No,Urban,13,4.610621612253868
44875,38.0,5.0,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,28,1.5204185984270167
9826,38.0,3.9,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,41,10.586484616110663
5715,26.0,4.9,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,11,1.4898423041565347
3104,27.0,4.9,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,12.107734496715699
40633,37.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,4.657153006757443
8090,21.0,4.8,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Urban,24,16.38504788656677
24677,30.0,4.2,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,41,17.137879924166842
21937,34.0,3.5,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,41,13.48136196205675
17770,32.0,5.0,Windy,Medium,2,Snack,scooter,1.0,No,Metropolitian,20,12.100157237944071
20628,20.0,4.8,Stormy,High,0,Snack,motorcycle,,No,Metropolitian,27,2.9372227521520076
27375,30.0,4.8,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,23,17.09922547889281
17725,29.0,3.5,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,42,12.100157237944071
501,20.0,4.9,Stormy,Medium,1,Drinks,scooter,1.0,No,Urban,17,10.906379592916469
5522,38.0,4.3,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Urban,31,7.7901589271416665
33948,37.0,4.6,Cloudy,Medium,1,Drinks,scooter,1.0,No,Urban,38,19.659824899493145
42255,36.0,5.0,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,31,9.192290417085573
8708,31.0,4.9,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,30,13.972141328923932
8790,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,34,13.631449198537306
36382,35.0,4.8,Sandstorms,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,28,13.96911696778712
30914,34.0,4.5,Fog,High,1,Snack,scooter,0.0,No,Urban,27,3.040539883821868
1000,30.0,4.7,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,7.790314135648433
7725,37.0,4.5,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,34,12.209940785558832
9035,32.0,4.9,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,17,1.5725337265584898
1219,28.0,4.6,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,,11,8.953146585332123
21261,32.0,4.6,Windy,High,0,Snack,motorcycle,1.0,No,Metropolitian,30,6.29013467758336
6224,29.0,4.6,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,28,16.85257276943237
11269,20.0,3.9,Sunny,High,0,Snack,motorcycle,2.0,No,Metropolitian,42,3.08828802645803
16207,25.0,4.8,Stormy,Medium,1,Drinks,scooter,0.0,No,Urban,16,11.916994721377764
3401,26.0,4.7,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,22,13.622111102049937
6282,22.0,5.0,Cloudy,High,2,Meal,scooter,0.0,No,Metropolitian,25,3.105369976638969
25148,32.0,5.0,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,15,2.9797958858786986
35244,24.0,5.0,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,11,1.5526929429679828
2851,25.0,4.9,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,25,19.974363119326032
8932,30.0,4.9,Windy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,28,6.050551152414774
1030,32.0,5.0,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,16,9.315729044287183
30736,31.0,4.9,Cloudy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,16,7.761839422210533
11335,33.0,4.3,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,34,11.917100051266479
6810,29.0,4.9,Fog,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,35,13.970652591312666
28294,33.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Urban,25,12.43568904719333
26866,32.0,5.0,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Urban,19,8.953006164655829
27308,35.0,4.0,Fog,Medium,1,Buffet,scooter,0.0,No,Metropolitian,31,13.828140500466104
38325,38.0,3.7,Sandstorms,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,34,10.865866087612565
6623,35.0,4.9,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,30,17.07651409815574
2593,37.0,4.6,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,25,1.5367158906738052
41518,39.0,4.8,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,53,19.661022213462363
16946,35.0,4.2,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,39,14.152800689506924
14644,26.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,19,2.979626519740365
936,30.0,3.7,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,34,16.787191781784927
20513,37.0,4.1,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,36,3.0734222595348126
43217,22.0,4.8,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,29,7.683740931038682
34557,29.0,4.3,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,3.105369976638969
42182,32.0,4.8,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,16,10.867473945754178
38311,33.0,4.9,Stormy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,27,6.217824017870779
35038,35.0,4.4,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,39,20.253101372635502
38139,37.0,4.9,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,23,3.0737878691270715
15359,20.0,4.8,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,32,12.074377561824095
10347,30.0,4.1,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,31,4.527915277764521
44706,29.0,5.0,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,12,3.1450674354101187
5610,24.0,4.7,Sunny,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,17,19.976027554949525
41200,37.0,4.7,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,24,3.108970009200805
8971,26.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,11,9.055898607597594
28704,28.0,4.9,Sandstorms,High,1,Meal,motorcycle,1.0,No,Metropolitian,27,6.050033592408317
21276,26.0,5.0,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,15,1.5321547964178643
30967,39.0,4.5,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,23,3.105268883912366
18937,29.0,5.0,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,17,6.080918142399229
14269,23.0,4.7,Sunny,Low,1,Snack,motorcycle,0.0,No,Metropolitian,19,3.0646598415657964
31745,30.0,4.6,Cloudy,High,1,Drinks,scooter,1.0,No,Metropolitian,33,6.29013467758336
1175,36.0,4.6,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,25,4.5609750232747945
6245,38.0,3.5,Fog,Low,2,Buffet,scooter,1.0,No,Urban,33,19.471572943619865
39713,29.0,4.6,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,25,20.182728114835903
24311,,,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,27,1.5130734531037866
10949,25.0,4.9,Cloudy,Low,2,Buffet,electric_scooter,0.0,No,Urban,20,12.116886186365793
24961,31.0,4.7,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,40,10.72475046206117
17203,28.0,4.9,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,28,7.568330481340724
16426,32.0,5.0,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Urban,18,3.0249845923555045
41070,25.0,4.8,Windy,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,21,20.17903332455092
9183,20.0,4.8,Sunny,Medium,1,Snack,scooter,1.0,No,Urban,16,12.464369458885084
3541,38.0,4.4,Fog,Medium,1,Snack,scooter,0.0,No,Urban,33,10.564409665779
4449,30.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Urban,25,4.596336792048561
41143,38.0,4.3,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,22,1.532022771405787
45121,36.0,4.8,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,14.022295961692818
28288,26.0,4.7,Stormy,Low,1,Drinks,scooter,0.0,No,Urban,11,13.62122232996026
33565,22.0,4.6,Windy,Jam,2,Buffet,scooter,0.0,No,Urban,22,10.880951367074182
43506,25.0,4.7,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,4.579040249652878
43887,38.0,4.3,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,12.257490517510409
9294,,,,,3,Snack,motorcycle,0.0,No,Metropolitian,31,9.192119120992492
6882,27.0,4.7,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,41,17.297865752893937
8225,28.0,4.8,Windy,High,2,Meal,motorcycle,1.0,No,Urban,27,5889.664127255469
28590,29.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,10.92420172800656
21528,34.0,5.0,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,29,9.075521306348927
21413,26.0,4.7,Cloudy,Low,2,Drinks,scooter,1.0,No,,19,7.56236421354915
21211,36.0,4.9,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,29,10.906379592916469
44668,27.0,4.6,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,24,7.600994631313737
16671,39.0,4.8,Fog,Jam,1,Buffet,motorcycle,1.0,Yes,Metropolitian,41,12.484590809743365
36711,21.0,4.1,Stormy,Jam,0,Meal,motorcycle,0.0,No,Urban,31,10.587929946635425
34127,20.0,4.1,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,29,4.5609284302636794
32336,28.0,4.6,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,22,4.663566688756208
27196,37.0,4.2,Fog,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,31,7.448379823590384
19777,24.0,4.5,Windy,High,2,Snack,motorcycle,1.0,No,Metropolitian,26,6.1287577015808035
38071,29.0,4.4,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28,7.573429885075215
30719,26.0,4.0,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,34,10.565262855059668
34608,38.0,4.9,Stormy,Low,1,Drinks,scooter,1.0,No,Metropolitian,23,13.631271209126313
40862,22.0,4.9,Stormy,Low,1,Buffet,scooter,1.0,No,Urban,19,20.182728114835903
21726,35.0,,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,29,9.157678419567484
9036,31.0,4.5,Sandstorms,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,31,16.90280673247877
26150,,,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,28,13.613850325897088
27700,30.0,5.0,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,32,6.128850978488612
32661,,,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,26,9.314884732538992
39569,36.0,4.2,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,6.14719451853426
28041,35.0,4.5,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,27,16.818368923714367
9267,21.0,5.0,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,29,7.461099952880004
9281,38.0,5.0,Sandstorms,Jam,1,Meal,scooter,,No,Metropolitian,30,9.363795317264312
45234,25.0,4.2,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,38,19.61865601366183
34451,33.0,5.0,Sunny,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,13,3.05936345549117
18377,23.0,4.6,Stormy,Low,1,Meal,motorcycle,0.0,No,Urban,13,3.0253210916905586
27741,28.0,4.8,Fog,Low,2,Meal,scooter,0.0,No,Metropolitian,13,7.601368938169582
17894,22.0,4.8,Windy,Jam,2,Meal,scooter,0.0,,Metropolitian,11,7.652510173194676
22622,30.0,4.2,Cloudy,Medium,2,Drinks,scooter,2.0,No,Metropolitian,40,13.611585111828559
6887,26.0,4.6,Sunny,High,1,Buffet,motorcycle,1.0,No,Urban,14,1.5297232826572114
31149,23.0,4.5,Sandstorms,Low,2,Drinks,scooter,0.0,No,Metropolitian,13,13.829019124510912
2417,39.0,5.0,Windy,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,47,17.07480611178322
30437,26.0,4.8,Sunny,High,2,Snack,electric_scooter,0.0,No,Metropolitian,14,5.958965689618683
